Entity,Protein,Fat,Carb
Apples,0.287179487,0.287179487,0.425641025
Bananas,0.286666667,0.28,0.433333333
Barley (Beer),0.202898551,0.15942029,0.637681159
Beef (beef herd),0.450980392,0.368627451,0.180392157
Beef (dairy herd),0.450980392,0.368627451,0.180392157
Beet Sugar,0.091666667,0.091666667,0.816666667
Berries & Grapes,0.303501945,0.299610895,0.396887159
Brassicas,0.333333333,0.333333333,0.333333333
Cane Sugar,0.091666667,0.091666667,0.816666667
Cassava,0.333333333,0.333333333,0.333333333
Cheese,0.397037037,0.312592593,0.290370371
Citrus Fruit,0.333333333,0.333333333,0.333333333
Coffee,0.331884058,0.331884058,0.336231884
Dark Chocolate,0.127777778,0.202777778,0.669444444
Eggs,0.373333333,0.373333333,0.253333333
Fish (farmed),0.503333333,0.273333333,0.223333333
Groundnuts,0.333333333,0.333333333,0.333333333
Lamb & Mutton,0.371014493,0.466666667,0.162318841
Maize (Meal),0.163841808,0.121468927,0.714689266
Milk,0.325136612,0.333333334,0.341530055
Nuts,0.28,0.52,0.2
Oatmeal,0.306497175,0.298022598,0.395480226
Onions & Leeks,0.311111111,0.301587301,0.387301587
Other Fruit,0.268482491,0.26459144,0.46692607
Other Pulses,0.333333333,0.333333333,0.333333333
Other Vegetables,0.323809524,0.319047619,0.357142857
Peas,0.31,0.28,0.41
Pig Meat,0.403921569,0.439215686,0.156862745
Potatoes,0.273333333,0.253333333,0.473333333
Poultry Meat,0.478431372,0.31372549,0.207843137
Shrimps (farmed),0.509803921,0.250980392,0.239215686
Rice,0.129807693,0.072115385,0.798076923
Root Vegetables,0.292473118,0.286021505,0.421505376
Soymilk,0.331920904,0.314971752,0.353107345
Tofu,0.355,0.3,0.345
Tomatoes,0.326388889,0.318055556,0.355555556
Wheat & Rye (Bread),0.180555555,0.088888889,0.730555555
Wine,0.308333333,0.308333333,0.383333333
Soybean Oil,0,1,0
Palm Oil,0,1,0
Sunflower Oil,0,1,0
Rapeseed Oil,0.037037037,0.925925926,0.037037037
Olive Oil,0,1,0
